Title,Genre,Rank,Year,Rating,Metascore
Guardians of the Galaxy,"Action,Adventure,Sci-Fi",1,2014,8.1,76.0
Prometheus,"Adventure,Mystery,Sci-Fi",2,2012,7.0,65.0
Split,"Horror,Thriller",3,2016,7.3,62.0
Sing,"Animation,Comedy,Family",4,2016,7.2,59.0
Suicide Squad,"Action,Adventure,Fantasy",5,2016,6.2,40.0
The Great Wall,"Action,Adventure,Fantasy",6,2016,6.1,42.0
La La Land,"Comedy,Drama,Music",7,2016,8.3,93.0
Mindhorn,Comedy,8,2016,6.4,71.0
The Lost City of Z,"Action,Adventure,Biography",9,2016,7.1,78.0
Passengers,"Adventure,Drama,Romance",10,2016,7.0,41.0
Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",11,2016,7.5,66.0
Hidden Figures,"Biography,Drama,History",12,2016,7.8,74.0
Rogue One,"Action,Adventure,Sci-Fi",13,2016,7.9,65.0
Moana,"Animation,Adventure,Comedy",14,2016,7.7,81.0
Colossal,"Action,Comedy,Drama",15,2016,6.4,70.0
The Secret Life of Pets,"Animation,Adventure,Comedy",16,2016,6.6,61.0
Hacksaw Ridge,"Biography,Drama,History",17,2016,8.2,71.0
Jason Bourne,"Action,Thriller",18,2016,6.7,58.0
Lion,"Biography,Drama",19,2016,8.1,69.0
Arrival,"Drama,Mystery,Sci-Fi",20,2016,8.0,81.0
Gold,"Adventure,Drama,Thriller",21,2016,6.7,49.0
Manchester by the Sea,Drama,22,2016,7.9,96.0
Hounds of Love,"Crime,Drama,Horror",23,2016,6.7,72.0
Trolls,"Animation,Adventure,Comedy",24,2016,6.5,56.0
Independence Day: Resurgence,"Action,Adventure,Sci-Fi",25,2016,5.3,32.0
Paris pieds nus,Comedy,26,2016,6.8,
Bahubali: The Beginning,"Action,Adventure,Drama",27,2015,8.3,
Dead Awake,"Horror,Thriller",28,2016,4.7,
Bad Moms,Comedy,29,2016,6.2,60.0
Assassin's Creed,"Action,Adventure,Drama",30,2016,5.9,36.0
Why Him?,Comedy,31,2016,6.3,39.0
Nocturnal Animals,"Drama,Thriller",32,2016,7.5,67.0
X-Men: Apocalypse,"Action,Adventure,Sci-Fi",33,2016,7.1,52.0
Deadpool,"Action,Adventure,Comedy",34,2016,8.0,65.0
Resident Evil: The Final Chapter,"Action,Horror,Sci-Fi",35,2016,5.6,49.0
Captain America: Civil War,"Action,Adventure,Sci-Fi",36,2016,7.9,75.0
Interstellar,"Adventure,Drama,Sci-Fi",37,2014,8.6,74.0
Doctor Strange,"Action,Adventure,Fantasy",38,2016,7.6,72.0
The Magnificent Seven,"Action,Adventure,Western",39,2016,6.9,54.0
5- 25- 77,"Comedy,Drama",40,2007,7.1,
Sausage Party,"Animation,Adventure,Comedy",41,2016,6.3,66.0
Moonlight,Drama,42,2016,7.5,99.0
Don't Fuck in the Woods,Horror,43,2016,2.7,
The Founder,"Biography,Drama,History",44,2016,7.2,66.0
Lowriders,Drama,45,2016,6.3,57.0
Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",46,2011,6.7,45.0
Miss Sloane,"Drama,Thriller",47,2016,7.3,64.0
Fallen,"Adventure,Drama,Fantasy",48,2016,5.6,
Star Trek Beyond,"Action,Adventure,Sci-Fi",49,2016,7.1,68.0
The Last Face,Drama,50,2016,3.7,16.0
Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Fantasy",51,2015,8.1,81.0
Underworld: Blood Wars,"Action,Adventure,Fantasy",52,2016,5.8,23.0
Mother's Day,"Comedy,Drama",53,2016,5.6,18.0
John Wick,"Action,Crime,Thriller",54,2014,7.2,68.0
The Dark Knight,"Action,Crime,Drama",55,2008,9.0,82.0
Silence,"Adventure,Drama,History",56,2016,7.3,79.0
Don't Breathe,"Crime,Horror,Thriller",57,2016,7.2,71.0
Me Before You,"Drama,Romance",58,2016,7.4,51.0
Their Finest,"Comedy,Drama,Romance",59,2016,7.0,76.0
Sully,"Biography,Drama",60,2016,7.5,74.0
Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi",61,2016,6.7,44.0
The Autopsy of Jane Doe,"Horror,Mystery,Thriller",62,2016,6.8,65.0
The Girl on the Train,"Crime,Drama,Mystery",63,2016,6.5,48.0
Fifty Shades of Grey,"Drama,Romance,Thriller",64,2015,4.1,46.0
The Prestige,"Drama,Mystery,Sci-Fi",65,2006,8.5,66.0
Kingsman: The Secret Service,"Action,Adventure,Comedy",66,2014,7.7,58.0
Patriots Day,"Drama,History,Thriller",67,2016,7.4,69.0
Mad Max: Fury Road,"Action,Adventure,Sci-Fi",68,2015,8.1,90.0
Wakefield,Drama,69,2016,7.5,61.0
Deepwater Horizon,"Action,Drama,Thriller",70,2016,7.2,68.0
The Promise,"Drama,History",71,2016,5.9,49.0
Allied,"Action,Drama,Romance",72,2016,7.1,60.0
A Monster Calls,"Drama,Fantasy",73,2016,7.5,76.0
Collateral Beauty,"Drama,Romance",74,2016,6.8,23.0
Zootopia,"Animation,Adventure,Comedy",75,2016,8.1,78.0
Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy",76,2007,7.1,50.0
The Avengers,"Action,Sci-Fi",77,2012,8.1,69.0
Inglourious Basterds,"Adventure,Drama,War",78,2009,8.3,69.0
Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Fantasy",79,2006,7.3,53.0
Ghostbusters,"Action,Comedy,Fantasy",80,2016,5.3,60.0
Inception,"Action,Adventure,Sci-Fi",81,2010,8.8,74.0
Captain Fantastic,"Comedy,Drama",82,2016,7.9,72.0
The Wolf of Wall Street,"Biography,Comedy,Crime",83,2013,8.2,75.0
Gone Girl,"Crime,Drama,Mystery",84,2014,8.1,79.0
Furious Seven,"Action,Crime,Thriller",85,2015,7.2,67.0
Jurassic World,"Action,Adventure,Sci-Fi",86,2015,7.0,59.0
Live by Night,"Crime,Drama",87,2016,6.4,49.0
Avatar,"Action,Adventure,Fantasy",88,2009,7.8,83.0
The Hateful Eight,"Crime,Drama,Mystery",89,2015,7.8,68.0
The Accountant,"Action,Crime,Drama",90,2016,7.4,51.0
Prisoners,"Crime,Drama,Mystery",91,2013,8.1,74.0
Warcraft,"Action,Adventure,Fantasy",92,2016,7.0,32.0
The Help,Drama,93,2011,8.1,62.0
War Dogs,"Comedy,Crime,Drama",94,2016,7.1,57.0
Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",95,2015,7.4,66.0
The Nice Guys,"Action,Comedy,Crime",96,2016,7.4,70.0
Kimi no na wa,"Animation,Drama,Fantasy",97,2016,8.6,79.0
The Void,"Horror,Mystery,Sci-Fi",98,2016,5.8,62.0
Personal Shopper,"Drama,Mystery,Thriller",99,2016,6.3,77.0
The Departed,"Crime,Drama,Thriller",100,2006,8.5,85.0
Legend,"Biography,Crime,Drama",101,2015,7.0,55.0
Thor,"Action,Adventure,Fantasy",102,2011,7.0,57.0
The Martian,"Adventure,Drama,Sci-Fi",103,2015,8.0,80.0
Contratiempo,"Crime,Mystery,Thriller",104,2016,7.9,
The Man from U.N.C.L.E.,"Action,Adventure,Comedy",105,2015,7.3,56.0
Hell or High Water,"Crime,Drama,Thriller",106,2016,7.7,88.0
The Comedian,Comedy,107,2016,5.4,40.0
The Legend of Tarzan,"Action,Adventure,Drama",108,2016,6.3,44.0
All We Had,Drama,109,2016,5.8,48.0
Ex Machina,"Drama,Mystery,Sci-Fi",110,2014,7.7,78.0
The Belko Experiment,"Action,Horror,Thriller",111,2016,6.3,44.0
12 Years a Slave,"Biography,Drama,History",112,2013,8.1,96.0
The Bad Batch,"Romance,Sci-Fi",113,2016,6.1,65.0
300,"Action,Fantasy,War",114,2006,7.7,52.0
Harry Potter and the Deathly Hallows: Part 2,"Adventure,Drama,Fantasy",115,2011,8.1,87.0
Office Christmas Party,Comedy,116,2016,5.8,42.0
The Neon Demon,"Horror,Thriller",117,2016,6.2,51.0
Dangal,"Action,Biography,Drama",118,2016,8.8,
10 Cloverfield Lane,"Drama,Horror,Mystery",119,2016,7.2,76.0
Finding Dory,"Animation,Adventure,Comedy",120,2016,7.4,77.0
Miss Peregrine's Home for Peculiar Children,"Adventure,Drama,Family",121,2016,6.7,57.0
Divergent,"Adventure,Mystery,Sci-Fi",122,2014,6.7,48.0
Mike and Dave Need Wedding Dates,"Adventure,Comedy,Romance",123,2016,6.0,51.0
Boyka: Undisputed IV,Action,124,2016,7.4,
The Dark Knight Rises,"Action,Thriller",125,2012,8.5,78.0
The Jungle Book,"Adventure,Drama,Family",126,2016,7.5,77.0
Transformers: Age of Extinction,"Action,Adventure,Sci-Fi",127,2014,5.7,32.0
Nerve,"Adventure,Crime,Mystery",128,2016,6.6,58.0
Mamma Mia!,"Comedy,Family,Musical",129,2008,6.4,51.0
The Revenant,"Adventure,Drama,Thriller",130,2015,8.0,76.0
Fences,Drama,131,2016,7.3,79.0
Into the Woods,"Adventure,Comedy,Drama",132,2014,6.0,69.0
The Shallows,"Drama,Horror,Thriller",133,2016,6.4,59.0
Whiplash,"Drama,Music",134,2014,8.5,88.0
Furious 6,"Action,Crime,Thriller",135,2013,7.1,61.0
The Place Beyond the Pines,"Crime,Drama,Thriller",136,2012,7.3,68.0
No Country for Old Men,"Crime,Drama,Thriller",137,2007,8.1,91.0
The Great Gatsby,"Drama,Romance",138,2013,7.3,55.0
Shutter Island,"Mystery,Thriller",139,2010,8.1,63.0
Brimstone,"Mystery,Thriller,Western",140,2016,7.1,44.0
Star Trek,"Action,Adventure,Sci-Fi",141,2009,8.0,82.0
Diary of a Wimpy Kid,"Comedy,Family",142,2010,6.2,56.0
The Big Short,"Biography,Comedy,Drama",143,2015,7.8,81.0
Room,Drama,144,2015,8.2,86.0
Django Unchained,"Drama,Western",145,2012,8.4,81.0
Ah-ga-ssi,"Drama,Mystery,Romance",146,2016,8.1,84.0
The Edge of Seventeen,"Comedy,Drama",147,2016,7.4,77.0
Watchmen,"Action,Drama,Mystery",148,2009,7.6,56.0
Superbad,Comedy,149,2007,7.6,76.0
Inferno,"Action,Adventure,Crime",150,2016,6.2,42.0
The BFG,"Adventure,Family,Fantasy",151,2016,6.4,66.0
The Hunger Games,"Adventure,Sci-Fi,Thriller",152,2012,7.2,68.0
White Girl,Drama,153,2016,5.8,65.0
Sicario,"Action,Crime,Drama",154,2015,7.6,82.0
Twin Peaks: The Missing Pieces,"Drama,Horror,Mystery",155,2014,8.1,
Aliens vs Predator - Requiem,"Action,Horror,Sci-Fi",156,2007,4.7,29.0
Pacific Rim,"Action,Adventure,Sci-Fi",157,2013,7.0,64.0
"Crazy, Stupid, Love.","Comedy,Drama,Romance",158,2011,7.4,68.0
Scott Pilgrim vs. the World,"Action,Comedy,Fantasy",159,2010,7.5,69.0
Hot Fuzz,"Action,Comedy,Mystery",160,2007,7.9,81.0
Mine,"Thriller,War",161,2016,6.0,40.0
Free Fire,"Action,Comedy,Crime",162,2016,7.0,63.0
X-Men: Days of Future Past,"Action,Adventure,Sci-Fi",163,2014,8.0,74.0
Jack Reacher: Never Go Back,"Action,Adventure,Crime",164,2016,6.1,47.0
Casino Royale,"Action,Adventure,Thriller",165,2006,8.0,80.0
Twilight,"Drama,Fantasy,Romance",166,2008,5.2,56.0
Now You See Me 2,"Action,Adventure,Comedy",167,2016,6.5,46.0
Woman in Gold,"Biography,Drama,History",168,2015,7.3,51.0
13 Hours,"Action,Drama,History",169,2016,7.3,48.0
Spectre,"Action,Adventure,Thriller",170,2015,6.8,60.0
Nightcrawler,"Crime,Drama,Thriller",171,2014,7.9,76.0
Kubo and the Two Strings,"Animation,Adventure,Family",172,2016,7.9,84.0
Beyond the Gates,"Adventure,Horror",173,2016,5.2,59.0
Her,"Drama,Romance,Sci-Fi",174,2013,8.0,90.0
Frozen,"Animation,Adventure,Comedy",175,2013,7.5,74.0
Tomorrowland,"Action,Adventure,Family",176,2015,6.5,60.0
Dawn of the Planet of the Apes,"Action,Adventure,Drama",177,2014,7.6,79.0
Tropic Thunder,"Action,Comedy",178,2008,7.0,71.0
The Conjuring 2,"Horror,Mystery,Thriller",179,2016,7.4,65.0
Ant-Man,"Action,Adventure,Comedy",180,2015,7.3,64.0
Bridget Jones's Baby,"Comedy,Romance",181,2016,6.7,59.0
The VVitch: A New-England Folktale,"Horror,Mystery",182,2015,6.8,83.0
Cinderella,"Drama,Family,Fantasy",183,2015,7.0,67.0
Realive,Sci-Fi,184,2016,5.9,
Forushande,"Drama,Thriller",185,2016,8.0,85.0
Love,"Drama,Romance",186,2015,6.0,51.0
Billy Lynn's Long Halftime Walk,"Drama,War",187,2016,6.3,53.0
Crimson Peak,"Drama,Fantasy,Horror",188,2015,6.6,66.0
Drive,"Crime,Drama",189,2011,7.8,78.0
Trainwreck,"Comedy,Drama,Romance",190,2015,6.3,75.0
The Light Between Oceans,"Drama,Romance",191,2016,7.2,60.0
Below Her Mouth,Drama,192,2016,5.6,42.0
Spotlight,"Crime,Drama,History",193,2015,8.1,93.0
Morgan,"Horror,Sci-Fi,Thriller",194,2016,5.8,48.0
Warrior,"Action,Drama,Sport",195,2011,8.2,71.0
Captain America: The First Avenger,"Action,Adventure,Sci-Fi",196,2011,6.9,66.0
Hacker,"Crime,Drama,Thriller",197,2016,6.3,
Into the Wild,"Adventure,Biography,Drama",198,2007,8.1,73.0
The Imitation Game,"Biography,Drama,Thriller",199,2014,8.1,73.0
Central Intelligence,"Action,Comedy,Crime",200,2016,6.3,52.0
Edge of Tomorrow,"Action,Adventure,Sci-Fi",201,2014,7.9,71.0
A Cure for Wellness,"Drama,Fantasy,Horror",202,2016,6.5,47.0
Snowden,"Biography,Drama,Thriller",203,2016,7.3,58.0
Iron Man,"Action,Adventure,Sci-Fi",204,2008,7.9,79.0
Allegiant,"Action,Adventure,Mystery",205,2016,5.7,33.0
X: First Class,"Action,Adventure,Sci-Fi",206,2011,7.8,65.0
Raw (II),"Drama,Horror",207,2016,7.5,81.0
Paterson,"Comedy,Drama,Romance",208,2016,7.5,90.0
Bridesmaids,"Comedy,Romance",209,2011,6.8,75.0
The Girl with All the Gifts,"Drama,Horror,Thriller",210,2016,6.7,67.0
San Andreas,"Action,Adventure,Drama",211,2015,6.1,43.0
Spring Breakers,Drama,212,2012,5.3,63.0
Transformers,"Action,Adventure,Sci-Fi",213,2007,7.1,61.0
Old Boy,"Action,Drama,Mystery",214,2013,5.8,49.0
Thor: The Dark World,"Action,Adventure,Fantasy",215,2013,7.0,54.0
Gods of Egypt,"Action,Adventure,Fantasy",216,2016,5.5,25.0
Captain America: The Winter Soldier,"Action,Adventure,Sci-Fi",217,2014,7.8,70.0
Monster Trucks,"Action,Adventure,Comedy",218,2016,5.7,41.0
A Dark Song,"Drama,Horror",219,2016,6.1,67.0
Kick-Ass,"Action,Comedy",220,2010,7.7,66.0
Hardcore Henry,"Action,Adventure,Sci-Fi",221,2015,6.7,51.0
Cars,"Animation,Adventure,Comedy",222,2006,7.1,73.0
It Follows,"Horror,Mystery",223,2014,6.9,83.0
The Girl with the Dragon Tattoo,"Crime,Drama,Mystery",224,2011,7.8,71.0
We're the Millers,"Comedy,Crime",225,2013,7.0,44.0
American Honey,Drama,226,2016,7.0,79.0
The Lobster,"Comedy,Drama,Romance",227,2015,7.1,82.0
Predators,"Action,Adventure,Sci-Fi",228,2010,6.4,51.0
Maleficent,"Action,Adventure,Family",229,2014,7.0,56.0
Rupture,"Horror,Sci-Fi,Thriller",230,2016,4.8,35.0
Pan's Labyrinth,"Drama,Fantasy,War",231,2006,8.2,98.0
A Kind of Murder,"Crime,Drama,Thriller",232,2016,5.2,50.0
Apocalypto,"Action,Adventure,Drama",233,2006,7.8,68.0
Mission: Impossible - Rogue Nation,"Action,Adventure,Thriller",234,2015,7.4,75.0
The Huntsman: Winter's War,"Action,Adventure,Drama",235,2016,6.1,35.0
The Perks of Being a Wallflower,"Drama,Romance",236,2012,8.0,67.0
Jackie,"Biography,Drama,History",237,2016,6.8,81.0
The Disappointments Room,"Drama,Horror,Thriller",238,2016,3.9,31.0
The Grand Budapest Hotel,"Adventure,Comedy,Drama",239,2014,8.1,88.0
The Host,"Action,Adventure,Romance",240,2013,5.9,35.0
Fury,"Action,Drama,War",241,2014,7.6,64.0
Inside Out,"Animation,Adventure,Comedy",242,2015,8.2,94.0
Rock Dog,"Animation,Adventure,Comedy",243,2016,5.8,48.0
Terminator Genisys,"Action,Adventure,Sci-Fi",244,2015,6.5,38.0
Percy Jackson & the Olympians: The Lightning Thief,"Adventure,Family,Fantasy",245,2010,5.9,47.0
Les Misérables,"Drama,Musical,Romance",246,2012,7.6,63.0
Children of Men,"Drama,Sci-Fi,Thriller",247,2006,7.9,84.0
20th Century Women,"Comedy,Drama",248,2016,7.4,83.0
Spy,"Action,Comedy,Crime",249,2015,7.1,75.0
The Intouchables,"Biography,Comedy,Drama",250,2011,8.6,57.0
Bonjour Anne,"Comedy,Drama,Romance",251,2016,4.9,50.0
Kynodontas,"Drama,Thriller",252,2009,7.3,73.0
Straight Outta Compton,"Biography,Drama,History",253,2015,7.9,72.0
The Amazing Spider-Man 2,"Action,Adventure,Sci-Fi",254,2014,6.7,53.0
The Conjuring,"Horror,Mystery,Thriller",255,2013,7.5,68.0
The Hangover,Comedy,256,2009,7.8,73.0
Battleship,"Action,Adventure,Sci-Fi",257,2012,5.8,41.0
Rise of the Planet of the Apes,"Action,Drama,Sci-Fi",258,2011,7.6,68.0
Lights Out,Horror,259,2016,6.4,58.0
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,"Drama,Thriller",260,2016,7.1,76.0
Birdman or (The Unexpected Virtue of Ignorance),"Comedy,Drama,Romance",261,2014,7.8,88.0
Black Swan,"Drama,Thriller",262,2010,8.0,79.0
Dear White People,"Comedy,Drama",263,2014,6.2,79.0
Nymphomaniac: Vol. I,Drama,264,2013,7.0,64.0
Teenage Mutant Ninja Turtles: Out of the Shadows,"Action,Adventure,Comedy",265,2016,6.0,40.0
Knock Knock,"Drama,Horror,Thriller",266,2015,4.9,53.0
Dirty Grandpa,Comedy,267,2016,6.0,18.0
Cloud Atlas,"Drama,Sci-Fi",268,2012,7.5,55.0
X-Men Origins: Wolverine,"Action,Adventure,Sci-Fi",269,2009,6.7,40.0
Satanic,Horror,270,2016,3.7,
Skyfall,"Action,Adventure,Thriller",271,2012,7.8,81.0
The Hobbit: An Unexpected Journey,"Adventure,Fantasy",272,2012,7.9,58.0
21 Jump Street,"Action,Comedy,Crime",273,2012,7.2,69.0
Sing Street,"Comedy,Drama,Music",274,2016,8.0,79.0
Ballerina,"Animation,Adventure,Comedy",275,2016,6.8,
Oblivion,"Action,Adventure,Mystery",276,2013,7.0,54.0
22 Jump Street,"Action,Comedy,Crime",277,2014,7.1,71.0
Zodiac,"Crime,Drama,History",278,2007,7.7,78.0
Everybody Wants Some!!,Comedy,279,2016,7.0,83.0
Iron Man Three,"Action,Adventure,Sci-Fi",280,2013,7.2,62.0
Now You See Me,"Crime,Mystery,Thriller",281,2013,7.3,50.0
Sherlock Holmes,"Action,Adventure,Crime",282,2009,7.6,57.0
Death Proof,Thriller,283,2007,7.1,
The Danish Girl,"Biography,Drama,Romance",284,2015,7.0,66.0
Hercules,"Action,Adventure",285,2014,6.0,47.0
Sucker Punch,"Action,Fantasy",286,2011,6.1,33.0
Keeping Up with the Joneses,"Action,Comedy",287,2016,5.8,34.0
Jupiter Ascending,"Action,Adventure,Sci-Fi",288,2015,5.3,40.0
Masterminds,"Action,Comedy,Crime",289,2016,5.8,47.0
Iris,Thriller,290,2016,6.1,
Busanhaeng,"Action,Drama,Horror",291,2016,7.5,72.0
Pitch Perfect,"Comedy,Music,Romance",292,2012,7.2,66.0
Neighbors 2: Sorority Rising,Comedy,293,2016,5.7,58.0
The Exception,Drama,294,2016,7.7,
Man of Steel,"Action,Adventure,Fantasy",295,2013,7.1,55.0
The Choice,"Drama,Romance",296,2016,6.6,26.0
Ice Age: Collision Course,"Animation,Adventure,Comedy",297,2016,5.7,34.0
The Devil Wears Prada,"Comedy,Drama",298,2006,6.8,62.0
The Infiltrator,"Biography,Crime,Drama",299,2016,7.1,66.0
There Will Be Blood,"Drama,History",300,2007,8.1,92.0
The Equalizer,"Action,Crime,Thriller",301,2014,7.2,57.0
Lone Survivor,"Action,Biography,Drama",302,2013,7.5,60.0
The Cabin in the Woods,Horror,303,2012,7.0,72.0
The House Bunny,"Comedy,Romance",304,2008,5.5,55.0
She's Out of My League,"Comedy,Romance",305,2010,6.4,46.0
Inherent Vice,"Comedy,Crime,Drama",306,2014,6.7,81.0
Alice Through the Looking Glass,"Adventure,Family,Fantasy",307,2016,6.2,34.0
Vincent N Roxxy,"Crime,Drama,Thriller",308,2016,5.5,
The Fast and the Furious: Tokyo Drift,"Action,Crime,Thriller",309,2006,6.0,45.0
How to Be Single,"Comedy,Romance",310,2016,6.1,51.0
The Blind Side,"Biography,Drama,Sport",311,2009,7.7,53.0
La vie d'Adèle,"Drama,Romance",312,2013,7.8,88.0
The Babadook,"Drama,Horror",313,2014,6.8,86.0
The Hobbit: The Battle of the Five Armies,"Adventure,Fantasy",314,2014,7.4,59.0
Harry Potter and the Order of the Phoenix,"Adventure,Family,Fantasy",315,2007,7.5,71.0
Snowpiercer,"Action,Drama,Sci-Fi",316,2013,7.0,84.0
The 5th Wave,"Action,Adventure,Sci-Fi",317,2016,5.2,33.0
The Stakelander,"Action,Horror",318,2016,5.3,
The Visit,"Comedy,Horror,Thriller",319,2015,6.2,55.0
Fast Five,"Action,Crime,Thriller",320,2011,7.3,66.0
Step Up,"Crime,Drama,Music",321,2006,6.5,48.0
Lovesong,Drama,322,2016,6.4,74.0
RocknRolla,"Action,Crime,Thriller",323,2008,7.3,53.0
In Time,"Action,Sci-Fi,Thriller",324,2011,6.7,53.0
The Social Network,"Biography,Drama",325,2010,7.7,95.0
The Last Witch Hunter,"Action,Adventure,Fantasy",326,2015,6.0,34.0
