Title,Genre,Rank,Year,Rating,Metascore
Victor Frankenstein,"Drama,Horror,Sci-Fi",327,2015,6.0,36.0
A Street Cat Named Bob,"Biography,Comedy,Drama",328,2016,7.4,54.0
Green Room,"Crime,Horror,Thriller",329,2015,7.0,79.0
Blackhat,"Crime,Drama,Mystery",330,2015,5.4,51.0
Storks,"Animation,Adventure,Comedy",331,2016,6.9,56.0
American Sniper,"Action,Biography,Drama",332,2014,7.3,72.0
Dallas Buyers Club,"Biography,Drama",333,2013,8.0,84.0
Lincoln,"Biography,Drama,History",334,2012,7.4,86.0
Rush,"Action,Biography,Drama",335,2013,8.1,75.0
Before I Wake,"Drama,Fantasy,Horror",336,2016,6.1,
Silver Linings Playbook,"Comedy,Drama,Romance",337,2012,7.8,81.0
Tracktown,"Drama,Sport",338,2016,5.9,64.0
The Fault in Our Stars,"Drama,Romance",339,2014,7.8,69.0
Blended,"Comedy,Romance",340,2014,6.5,31.0
Fast & Furious,"Action,Crime,Thriller",341,2009,6.6,46.0
Looper,"Action,Crime,Drama",342,2012,7.4,84.0
White House Down,"Action,Drama,Thriller",343,2013,6.4,52.0
Pete's Dragon,"Adventure,Family,Fantasy",344,2016,6.8,71.0
Spider-Man 3,"Action,Adventure",345,2007,6.2,59.0
The Three Musketeers,"Action,Adventure,Romance",346,2011,5.8,35.0
Stardust,"Adventure,Family,Fantasy",347,2007,7.7,66.0
American Hustle,"Crime,Drama",348,2013,7.3,90.0
Jennifer's Body,"Comedy,Horror",349,2009,5.1,47.0
Midnight in Paris,"Comedy,Fantasy,Romance",350,2011,7.7,81.0
Lady Macbeth,Drama,351,2016,7.3,83.0
Joy,Drama,352,2015,6.6,56.0
The Dressmaker,"Comedy,Drama",353,2015,7.1,47.0
Café Society,"Comedy,Drama,Romance",354,2016,6.7,64.0
Insurgent,"Adventure,Sci-Fi,Thriller",355,2015,6.3,42.0
Seventh Son,"Action,Adventure,Fantasy",356,2014,5.5,30.0
Demain tout commence,"Comedy,Drama",357,2016,7.4,
The Theory of Everything,"Biography,Drama,Romance",358,2014,7.7,72.0
This Is the End,"Comedy,Fantasy",359,2013,6.6,67.0
About Time,"Comedy,Drama,Fantasy",360,2013,7.8,55.0
Step Brothers,Comedy,361,2008,6.9,51.0
Clown,"Horror,Thriller",362,2014,5.7,42.0
Star Trek Into Darkness,"Action,Adventure,Sci-Fi",363,2013,7.8,72.0
Zombieland,"Adventure,Comedy,Horror",364,2009,7.7,73.0
"Hail, Caesar!","Comedy,Mystery",365,2016,6.3,72.0
Slumdog Millionaire,Drama,366,2008,8.0,86.0
The Twilight Saga: Breaking Dawn - Part 2,"Adventure,Drama,Fantasy",367,2012,5.5,52.0
American Wrestler: The Wizard,"Drama,Sport",368,2016,6.9,
The Amazing Spider-Man,"Action,Adventure",369,2012,7.0,66.0
Ben-Hur,"Action,Adventure,Drama",370,2016,5.7,38.0
Sleight,"Action,Drama,Sci-Fi",371,2016,6.0,62.0
The Maze Runner,"Action,Mystery,Sci-Fi",372,2014,6.8,57.0
Criminal,"Action,Crime,Drama",373,2016,6.3,36.0
Wanted,"Action,Crime,Fantasy",374,2008,6.7,64.0
Florence Foster Jenkins,"Biography,Comedy,Drama",375,2016,6.9,71.0
Collide,"Action,Crime,Thriller",376,2016,5.7,33.0
Black Mass,"Biography,Crime,Drama",377,2015,6.9,68.0
Creed,"Drama,Sport",378,2015,7.6,82.0
Swiss Army Man,"Adventure,Comedy,Drama",379,2016,7.1,64.0
The Expendables 3,"Action,Adventure,Thriller",380,2014,6.1,35.0
What We Do in the Shadows,"Comedy,Fantasy,Horror",381,2014,7.6,76.0
Southpaw,"Drama,Sport",382,2015,7.4,57.0
Hush,"Horror,Thriller",383,2016,6.6,67.0
Bridge of Spies,"Drama,History,Thriller",384,2015,7.6,81.0
The Lego Movie,"Animation,Action,Adventure",385,2014,7.8,83.0
Everest,"Action,Adventure,Drama",386,2015,7.1,64.0
Pixels,"Action,Comedy,Family",387,2015,5.6,27.0
Robin Hood,"Action,Adventure,Drama",388,2010,6.7,53.0
The Wolverine,"Action,Adventure,Sci-Fi",389,2013,6.7,60.0
John Carter,"Action,Adventure,Sci-Fi",390,2012,6.6,51.0
Keanu,"Action,Comedy",391,2016,6.3,63.0
The Gunman,"Action,Crime,Drama",392,2015,5.8,39.0
Steve Jobs,"Biography,Drama",393,2015,7.2,82.0
Whisky Galore,"Comedy,Romance",394,2016,5.0,43.0
Grown Ups 2,Comedy,395,2013,5.4,19.0
The Age of Adaline,"Drama,Fantasy,Romance",396,2015,7.2,51.0
The Incredible Hulk,"Action,Adventure,Sci-Fi",397,2008,6.8,61.0
Couples Retreat,Comedy,398,2009,5.5,23.0
Absolutely Anything,"Comedy,Sci-Fi",399,2015,6.0,31.0
Magic Mike,"Comedy,Drama",400,2012,6.1,72.0
Minions,"Animation,Action,Adventure",401,2015,6.4,56.0
The Black Room,Horror,402,2016,3.9,71.0
Bronson,"Action,Biography,Crime",403,2008,7.1,
Despicable Me,"Animation,Adventure,Comedy",404,2010,7.7,72.0
The Best of Me,"Drama,Romance",405,2014,6.7,29.0
The Invitation,"Drama,Mystery,Thriller",406,2015,6.7,74.0
Zero Dark Thirty,"Drama,History,Thriller",407,2012,7.4,95.0
Tangled,"Animation,Adventure,Comedy",408,2010,7.8,71.0
The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Sci-Fi",409,2015,6.6,65.0
Vacation,"Adventure,Comedy",410,2015,6.1,34.0
Taken,"Action,Thriller",411,2008,7.8,50.0
Pitch Perfect 2,"Comedy,Music",412,2015,6.5,63.0
Monsters University,"Animation,Adventure,Comedy",413,2013,7.3,65.0
Elle,"Crime,Drama,Thriller",414,2016,7.2,89.0
Mechanic: Resurrection,"Action,Adventure,Crime",415,2016,5.6,38.0
Tusk,"Comedy,Drama,Horror",416,2014,5.4,55.0
The Headhunter's Calling,Drama,417,2016,6.9,85.0
Atonement,"Drama,Mystery,Romance",418,2007,7.8,
Harry Potter and the Deathly Hallows: Part 1,"Adventure,Family,Fantasy",419,2010,7.7,65.0
Shame,Drama,420,2011,7.2,72.0
Hanna,"Action,Drama,Thriller",421,2011,6.8,65.0
The Babysitters,Drama,422,2007,5.7,35.0
Pride and Prejudice and Zombies,"Action,Horror,Romance",423,2016,5.8,45.0
300: Rise of an Empire,"Action,Drama,Fantasy",424,2014,6.2,48.0
London Has Fallen,"Action,Crime,Drama",425,2016,5.9,28.0
The Curious Case of Benjamin Button,"Drama,Fantasy,Romance",426,2008,7.8,70.0
Sin City: A Dame to Kill For,"Action,Crime,Thriller",427,2014,6.5,46.0
The Bourne Ultimatum,"Action,Mystery,Thriller",428,2007,8.1,85.0
Srpski film,"Horror,Mystery,Thriller",429,2010,5.2,55.0
The Purge: Election Year,"Action,Horror,Sci-Fi",430,2016,6.0,
3 Idiots,"Comedy,Drama",431,2009,8.4,67.0
Zoolander 2,Comedy,432,2016,4.7,34.0
World War Z,"Action,Adventure,Horror",433,2013,7.0,63.0
Mission: Impossible - Ghost Protocol,"Action,Adventure,Thriller",434,2011,7.4,73.0
Let Me Make You a Martyr,"Action,Crime,Drama",435,2016,6.4,56.0
Filth,"Comedy,Crime,Drama",436,2013,7.1,
The Longest Ride,"Drama,Romance",437,2015,7.1,33.0
The imposible,"Drama,Thriller",438,2012,7.6,73.0
Kick-Ass 2,"Action,Comedy,Crime",439,2013,6.6,41.0
Folk Hero & Funny Guy,Comedy,440,2016,5.6,63.0
Oz the Great and Powerful,"Adventure,Family,Fantasy",441,2013,6.3,44.0
Brooklyn,"Drama,Romance",442,2015,7.5,87.0
Coraline,"Animation,Family,Fantasy",443,2009,7.7,80.0
Blue Valentine,"Drama,Romance",444,2010,7.4,81.0
The Thinning,Thriller,445,2016,6.0,31.0
Silent Hill,"Adventure,Horror,Mystery",446,2006,6.6,
Dredd,"Action,Sci-Fi",447,2012,7.1,59.0
Hunt for the Wilderpeople,"Adventure,Comedy,Drama",448,2016,7.9,81.0
Big Hero 6,"Animation,Action,Adventure",449,2014,7.8,74.0
Carrie,"Drama,Horror",450,2013,5.9,53.0
Iron Man 2,"Action,Adventure,Sci-Fi",451,2010,7.0,57.0
Demolition,"Comedy,Drama",452,2015,7.0,49.0
Pandorum,"Action,Horror,Mystery",453,2009,6.8,28.0
Olympus Has Fallen,"Action,Thriller",454,2013,6.5,41.0
I Am Number Four,"Action,Adventure,Sci-Fi",455,2011,6.1,36.0
Jagten,Drama,456,2012,8.3,76.0
The Proposal,"Comedy,Drama,Romance",457,2009,6.7,48.0
Get Hard,"Comedy,Crime",458,2015,6.0,34.0
Just Go with It,"Comedy,Romance",459,2011,6.4,33.0
Revolutionary Road,"Drama,Romance",460,2008,7.3,69.0
The Town,"Crime,Drama,Thriller",461,2010,7.6,74.0
The Boy,"Horror,Mystery,Thriller",462,2016,6.0,42.0
Denial,"Biography,Drama",463,2016,6.6,63.0
Predestination,"Drama,Mystery,Sci-Fi",464,2014,7.5,69.0
Goosebumps,"Adventure,Comedy,Family",465,2015,6.3,60.0
Sherlock Holmes: A Game of Shadows,"Action,Adventure,Crime",466,2011,7.5,48.0
Salt,"Action,Crime,Mystery",467,2010,6.4,65.0
Enemy,"Mystery,Thriller",468,2013,6.9,61.0
District 9,"Action,Sci-Fi,Thriller",469,2009,8.0,81.0
The Other Guys,"Action,Comedy,Crime",470,2010,6.7,64.0
American Gangster,"Biography,Crime,Drama",471,2007,7.8,76.0
Marie Antoinette,"Biography,Drama,History",472,2006,6.4,65.0
2012,"Action,Adventure,Sci-Fi",473,2009,5.8,49.0
Harry Potter and the Half-Blood Prince,"Adventure,Family,Fantasy",474,2009,7.5,78.0
Argo,"Biography,Drama,History",475,2012,7.7,86.0
Eddie the Eagle,"Biography,Comedy,Drama",476,2016,7.4,54.0
The Lives of Others,"Drama,Thriller",477,2006,8.5,89.0
Pet,"Horror,Thriller",478,2016,5.7,48.0
Paint It Black,Drama,479,2016,8.3,71.0
Macbeth,"Drama,War",480,2015,6.7,71.0
Forgetting Sarah Marshall,"Comedy,Drama,Romance",481,2008,7.2,67.0
The Giver,"Drama,Romance,Sci-Fi",482,2014,6.5,47.0
Triple 9,"Action,Crime,Drama",483,2016,6.3,52.0
Perfetti sconosciuti,"Comedy,Drama",484,2016,7.7,43.0
Angry Birds,"Animation,Action,Adventure",485,2016,6.3,
Moonrise Kingdom,"Adventure,Comedy,Drama",486,2012,7.8,84.0
Hairspray,"Comedy,Drama,Family",487,2007,6.7,81.0
Safe Haven,"Drama,Romance,Thriller",488,2013,6.7,34.0
Focus,"Comedy,Crime,Drama",489,2015,6.6,56.0
Ratatouille,"Animation,Comedy,Family",490,2007,8.0,96.0
Stake Land,"Drama,Horror,Sci-Fi",491,2010,6.5,66.0
The Book of Eli,"Action,Adventure,Drama",492,2010,6.9,53.0
Cloverfield,"Action,Horror,Sci-Fi",493,2008,7.0,64.0
Point Break,"Action,Crime,Sport",494,2015,5.3,34.0
Under the Skin,"Drama,Horror,Sci-Fi",495,2013,6.3,78.0
I Am Legend,"Drama,Horror,Sci-Fi",496,2007,7.2,65.0
Men in Black 3,"Action,Adventure,Comedy",497,2012,6.8,58.0
Super 8,"Mystery,Sci-Fi,Thriller",498,2011,7.1,72.0
Law Abiding Citizen,"Crime,Drama,Thriller",499,2009,7.4,34.0
Up,"Animation,Adventure,Comedy",500,2009,8.3,88.0
Maze Runner: The Scorch Trials,"Action,Sci-Fi,Thriller",501,2015,6.3,43.0
Carol,"Drama,Romance",502,2015,7.2,95.0
Imperium,"Crime,Drama,Thriller",503,2016,6.5,68.0
Youth,"Comedy,Drama,Music",504,2015,7.3,64.0
Mr. Nobody,"Drama,Fantasy,Romance",505,2009,7.9,63.0
City of Tiny Lights,"Crime,Drama,Thriller",506,2016,5.7,54.0
Savages,"Crime,Drama,Thriller",507,2012,6.5,59.0
(500) Days of Summer,"Comedy,Drama,Romance",508,2009,7.7,76.0
Movie 43,"Comedy,Romance",509,2013,4.3,18.0
Gravity,"Drama,Sci-Fi,Thriller",510,2013,7.8,96.0
The Boy in the Striped Pyjamas,"Drama,War",511,2008,7.8,55.0
Shooter,"Action,Crime,Drama",512,2007,7.2,53.0
The Happening,"Sci-Fi,Thriller",513,2008,5.0,34.0
Bone Tomahawk,"Adventure,Drama,Horror",514,2015,7.1,72.0
Magic Mike XXL,"Comedy,Drama,Music",515,2015,5.7,60.0
Easy A,"Comedy,Drama,Romance",516,2010,7.1,72.0
Exodus: Gods and Kings,"Action,Adventure,Drama",517,2014,6.0,52.0
Chappie,"Action,Crime,Drama",518,2015,6.9,41.0
The Hobbit: The Desolation of Smaug,"Adventure,Fantasy",519,2013,7.9,66.0
Half of a Yellow Sun,"Drama,Romance",520,2013,6.2,51.0
Anthropoid,"Biography,History,Thriller",521,2016,7.2,59.0
The Counselor,"Crime,Drama,Thriller",522,2013,5.3,48.0
Viking,"Action,Drama,History",523,2016,4.7,57.0
Whiskey Tango Foxtrot,"Biography,Comedy,Drama",524,2016,6.6,
Trust,"Crime,Drama,Thriller",525,2010,7.0,60.0
Birth of the Dragon,"Action,Biography,Drama",526,2016,3.9,61.0
Elysium,"Action,Drama,Sci-Fi",527,2013,6.6,
The Green Inferno,"Adventure,Horror",528,2013,5.4,38.0
Godzilla,"Action,Adventure,Sci-Fi",529,2014,6.4,62.0
The Bourne Legacy,"Action,Adventure,Mystery",530,2012,6.7,61.0
A Good Year,"Comedy,Drama,Romance",531,2006,6.9,47.0
Friend Request,"Horror,Thriller",532,2016,5.4,59.0
Deja Vu,"Action,Sci-Fi,Thriller",533,2006,7.0,
Lucy,"Action,Sci-Fi,Thriller",534,2014,6.4,61.0
A Quiet Passion,"Biography,Drama",535,2016,7.2,77.0
Need for Speed,"Action,Crime,Drama",536,2014,6.5,39.0
Jack Reacher,"Action,Crime,Mystery",537,2012,7.0,50.0
The Do-Over,"Action,Adventure,Comedy",538,2016,5.7,22.0
True Crimes,"Crime,Drama,Thriller",539,2016,7.3,43.0
American Pastoral,"Crime,Drama",540,2016,6.1,
The Ghost Writer,"Mystery,Thriller",541,2010,7.2,77.0
Limitless,"Mystery,Sci-Fi,Thriller",542,2011,7.4,59.0
Spectral,"Action,Mystery,Sci-Fi",543,2016,6.3,39.0
P.S. I Love You,"Drama,Romance",544,2007,7.1,
Zipper,"Drama,Thriller",545,2015,5.7,39.0
Midnight Special,"Drama,Mystery,Sci-Fi",546,2016,6.7,76.0
Don't Think Twice,"Comedy,Drama",547,2016,6.8,83.0
Alice in Wonderland,"Adventure,Family,Fantasy",548,2010,6.5,53.0
Chuck,"Biography,Drama,Sport",549,2016,6.8,68.0
"I, Daniel Blake",Drama,550,2016,7.9,77.0
The Break-Up,"Comedy,Drama,Romance",551,2006,5.8,45.0
Loving,"Biography,Drama,Romance",552,2016,7.1,79.0
Fantastic Four,"Action,Adventure,Sci-Fi",553,2015,4.3,27.0
The Survivalist,"Drama,Sci-Fi,Thriller",554,2015,6.3,80.0
Colonia,"Drama,Romance,Thriller",555,2015,7.1,33.0
The Boy Next Door,"Mystery,Thriller",556,2015,4.6,30.0
The Gift,"Mystery,Thriller",557,2015,7.1,77.0
Dracula Untold,"Action,Drama,Fantasy",558,2014,6.3,40.0
In the Heart of the Sea,"Action,Adventure,Biography",559,2015,6.9,47.0
Idiocracy,"Adventure,Comedy,Sci-Fi",560,2006,6.6,66.0
The Expendables,"Action,Adventure,Thriller",561,2010,6.5,45.0
Evil Dead,"Fantasy,Horror",562,2013,6.5,57.0
Sinister,"Horror,Mystery",563,2012,6.8,53.0
Wreck-It Ralph,"Animation,Adventure,Comedy",564,2012,7.8,72.0
Snow White and the Huntsman,"Action,Adventure,Drama",565,2012,6.1,57.0
Pan,"Adventure,Family,Fantasy",566,2015,5.8,36.0
Transformers: Dark of the Moon,"Action,Adventure,Sci-Fi",567,2011,6.3,42.0
Juno,"Comedy,Drama",568,2007,7.5,81.0
A Hologram for the King,"Comedy,Drama",569,2016,6.1,58.0
Money Monster,"Crime,Drama,Thriller",570,2016,6.5,55.0
The Other Woman,"Comedy,Romance",571,2014,6.0,39.0
Enchanted,"Animation,Comedy,Family",572,2007,7.1,75.0
The Intern,"Comedy,Drama",573,2015,7.1,51.0
Little Miss Sunshine,"Comedy,Drama",574,2006,7.8,80.0
Bleed for This,"Biography,Drama,Sport",575,2016,6.8,62.0
Clash of the Titans,"Action,Adventure,Fantasy",576,2010,5.8,39.0
The Finest Hours,"Action,Drama,History",577,2016,6.8,58.0
Tron,"Action,Adventure,Sci-Fi",578,2010,6.8,49.0
The Hunger Games: Catching Fire,"Action,Adventure,Mystery",579,2013,7.6,76.0
All Good Things,"Crime,Drama,Mystery",580,2010,6.3,57.0
Kickboxer: Vengeance,Action,581,2016,4.9,37.0
The Last Airbender,"Action,Adventure,Family",582,2010,4.2,20.0
Sex Tape,"Comedy,Romance",583,2014,5.1,36.0
What to Expect When You're Expecting,"Comedy,Drama,Romance",584,2012,5.7,41.0
Moneyball,"Biography,Drama,Sport",585,2011,7.6,87.0
Ghost Rider,"Action,Fantasy,Thriller",586,2007,5.2,35.0
Unbroken,"Biography,Drama,Sport",587,2014,7.2,59.0
Immortals,"Action,Drama,Fantasy",588,2011,6.0,46.0
Sunshine,"Adventure,Sci-Fi,Thriller",589,2007,7.3,64.0
Brave,"Animation,Adventure,Comedy",590,2012,7.2,69.0
Män som hatar kvinnor,"Drama,Mystery,Thriller",591,2009,7.8,76.0
Adoration,"Drama,Romance",592,2013,6.2,37.0
The Drop,"Crime,Drama,Mystery",593,2014,7.1,69.0
She's the Man,"Comedy,Romance,Sport",594,2006,6.4,45.0
Daddy's Home,"Comedy,Family",595,2015,6.1,42.0
Let Me In,"Drama,Horror,Mystery",596,2010,7.2,79.0
Never Back Down,"Action,Drama,Sport",597,2008,6.6,39.0
Grimsby,"Action,Adventure,Comedy",598,2016,6.2,44.0
Moon,"Drama,Mystery,Sci-Fi",599,2009,7.9,67.0
Megamind,"Animation,Action,Comedy",600,2010,7.3,63.0
Gangster Squad,"Action,Crime,Drama",601,2013,6.7,40.0
Blood Father,"Action,Crime,Drama",602,2016,6.4,66.0
He's Just Not That Into You,"Comedy,Drama,Romance",603,2009,6.4,47.0
Kung Fu Panda 3,"Animation,Action,Adventure",604,2016,7.2,66.0
The Rise of the Krays,"Crime,Drama",605,2015,5.1,90.0
Handsome Devil,Drama,606,2016,7.4,
Winter's Bone,Drama,607,2010,7.2,
Horrible Bosses,"Comedy,Crime",608,2011,6.9,57.0
Mommy,Drama,609,2014,8.1,74.0
Hellboy II: The Golden Army,"Action,Adventure,Fantasy",610,2008,7.0,78.0
Beautiful Creatures,"Drama,Fantasy,Romance",611,2013,6.2,52.0
Toni Erdmann,"Comedy,Drama",612,2016,7.6,93.0
The Lovely Bones,"Drama,Fantasy,Thriller",613,2009,6.7,42.0
The Assassination of Jesse James by the Coward Robert Ford,"Biography,Crime,Drama",614,2007,7.5,68.0
Don Jon,"Comedy,Drama,Romance",615,2013,6.6,66.0
Bastille Day,"Action,Crime,Drama",616,2016,6.3,48.0
2307: Winter's Dream,Sci-Fi,617,2016,4.0,53.0
Free State of Jones,"Action,Biography,Drama",618,2016,6.9,
Mr. Right,"Action,Comedy,Romance",619,2015,6.3,52.0
The Secret Life of Walter Mitty,"Adventure,Comedy,Drama",620,2013,7.3,54.0
Dope,"Comedy,Crime,Drama",621,2015,7.3,72.0
Underworld Awakening,"Action,Fantasy,Horror",622,2012,6.4,39.0
Antichrist,"Drama,Horror",623,2009,6.6,49.0
Friday the 13th,Horror,624,2009,5.6,34.0
Taken 3,"Action,Thriller",625,2014,6.0,26.0
Total Recall,"Action,Adventure,Mystery",626,2012,6.3,43.0
X-Men: The Last Stand,"Action,Adventure,Fantasy",627,2006,6.7,58.0
The Escort,"Comedy,Drama,Romance",628,2016,6.0,46.0
The Whole Truth,"Crime,Drama,Mystery",629,2016,6.1,
Night at the Museum: Secret of the Tomb,"Adventure,Comedy,Family",630,2014,6.2,47.0
Love & Other Drugs,"Comedy,Drama,Romance",631,2010,6.7,55.0
The Interview,Comedy,632,2014,6.6,52.0
The Host,"Comedy,Drama,Horror",633,2006,7.0,85.0
Megan Is Missing,"Drama,Horror,Thriller",634,2011,4.9,94.0
WALL·E,"Animation,Adventure,Family",635,2008,8.4,
Knocked Up,"Comedy,Romance",636,2007,7.0,85.0
Source Code,"Mystery,Romance,Sci-Fi",637,2011,7.5,74.0
Lawless,"Crime,Drama",638,2012,7.3,58.0
Unfriended,"Drama,Horror,Mystery",639,2014,5.6,59.0
American Reunion,Comedy,640,2012,6.7,49.0
The Pursuit of Happyness,"Biography,Drama",641,2006,8.0,64.0
Relatos salvajes,"Comedy,Drama,Thriller",642,2014,8.1,77.0
The Ridiculous 6,"Comedy,Western",643,2015,4.8,18.0
Frantz,"Drama,History,War",644,2016,7.5,73.0
Viral,"Drama,Horror,Sci-Fi",645,2016,5.5,72.0
Gran Torino,Drama,646,2008,8.2,
Burnt,"Comedy,Drama",647,2015,6.6,42.0
Tall Men,"Fantasy,Horror,Thriller",648,2016,3.2,57.0
Sleeping Beauty,"Drama,Romance",649,2011,5.3,
Vampire Academy,"Action,Comedy,Fantasy",650,2014,5.6,30.0
Sweeney Todd: The Demon Barber of Fleet Street,"Drama,Horror,Musical",651,2007,7.4,83.0
Solace,"Crime,Drama,Mystery",652,2015,6.4,36.0
Insidious,"Horror,Mystery,Thriller",653,2010,6.8,52.0
Popstar: Never Stop Never Stopping,"Comedy,Music",654,2016,6.7,68.0
The Levelling,Drama,655,2016,6.4,82.0
Public Enemies,"Biography,Crime,Drama",656,2009,7.0,70.0
Boyhood,Drama,657,2014,7.9,100.0
Teenage Mutant Ninja Turtles,"Action,Adventure,Comedy",658,2014,5.9,31.0
Eastern Promises,"Crime,Drama,Mystery",659,2007,7.7,82.0
The Daughter,Drama,660,2015,6.7,62.0
Pineapple Express,"Action,Comedy,Crime",661,2008,7.0,64.0
The First Time,"Comedy,Drama,Romance",662,2012,6.9,55.0
